Wine;Number of reviews;Summary
Seven Hills Vineyard;35;Though Cabernets Sauvignon and Franc each make up just 3% of this wine, they seem to show themselves aromatically, with herb and floral notes that provide the backdrop for Merlot's cocoa and cherry. Plush, briary, brambly fruit from the 30 year old vineyard brings an extra dimension to the wine, which shows a lovely balance of cranberry, raspberry, pie cherry and baking spice flavors. The Cabernet Franc brings some floral highlights to the nose, while the sturdy Merlot—dressed in accents of incense and sandalwood, cocoa and cinnamon—powers its way through a marvelously long finish.
Reserva Branco;36;One of the two estates in the Douro still in the hands of descendants of Dona Antonia Ferreira, who created so many Douro quintas, Vallado is able to produce great white wines as well as reds and Ports. Port made from white grapes is a great cocktail base (think white Port and Tonic for a start) as well as a delicious drink in its own right. This wine, well poised between sweet and dry, is a rich golden color, with dried apricot and plenty of fresh citrus to give it a crisp texture.
Winemaker's Reserve;36;Redolent with a fertile mix of moist earth, compost, tobacco and floral highlights, it fills the mouth with a rich and seamless mix of plums, baked cherries and barrel notes. The powerful black currant, black cherry, carob and tobacco flavors, wrapped into rich, soft tannins, suggest holding at least through 2008, and the wine should develop well for a decade. It's not just the peach, pear and tropical fruit, or the honeyed, vanilla-scented buttered toast, or the oriental spices, or the clean acidity, or the rich, creamy texture.
Flood Family Vineyards;36;Bright and plump fruits of black plum and boysenberry are drizzled with tar and dusted with savory peppercorns on the nose of this bottling, which also has a gamy hint of roast lamb. Green plum, mowed lawn, pungent green apple skins and a touch of candied peach ripeness make for a classic Sauv Blanc nose on this bottling from one of the region's oldest producers. Sweet cedar aromas kick off this attention-grabbing bottling, with elderberry and black plum scents combining for an Old World feel in which the structure can be sensed on sniff alone.
Les Clos Grand Cru;36;Its green and white fruits are layered with wood spice and an ineffable crispness that allows the wine to show the purity of Chardonnay and the great terroir at the same time. Tensely textured with young fruits that have a touch of bitterness, the wine offers kiwi and green plum flavors given a more exotic character with some mango. The most serious of the Chablis Grand Crus has produced here a wine that combines that firmer nature with generous yellow fruits, toast and tender acidity.
Rosso;37;Montefalco Rosso is the less austere cousin of Sagrantino di Montefalco and although this blend of Sangiovese, Sagrantino and Cabernet Sauvignon offers all kinds of spice, cherry notes and firm tannins, it is too masked by heavy oak tones. Bright and savory, this charming blend of Sangiovese, Cabernet Sauvignon, Merlot, Syrah and Teroldego doles out juicy wild cherry, black raspberry, cinnamon, white pepper and crushed Mediterranean herb. Made with 85% Nerello Mascalese and 15% Nerello Cappuccio, this radiant red boasts a beautiful fragrance of blue and red flower, ripe berry, cake spice and aromatic herb.
Alpha;37;Warm, rubbery berry aromas mixed with smoked meat and herbal accents make for a solid nose, and while the palate has clampy acidity and herbal notes, there's ample body, roundness and berry fruit to bring it home. A truly complex and layered style from deep in SoCal, this blend of Syrah, Cabernet Sauvignon, Merlot, Cabernet Franc and Petite Sirah brings aromas of smoked chocolate, smashed strawberries, dried rose petals and oregano. A lot of ripe apple, creamy butter and pear aromas make for a friendly opening, while the palate is plump and weighty, with toasty melon, citrus and buttered pear flavors.
Sierra Mar Vineyard;37;Warm aromas of lightly buttered apples, lemon cream croissant, yellow cake and dainty caramel invite the nose into this bottling by retired pro baseball players Dave Roberts (today manager of the L.A. Dodgers) and Rich Aurilia. There is a nice sizzle of acidity right away on the palate, and a pithy, cement-like grip, as well as full flavors of apple and peach blossoms that are rich and yet not overpowering. A brilliant Chardonnay, displaying both the terroir of this fine upland part of Monterey County, and the cool vintage that let the grapes hang on the vines until they were perfectly ripe.
Cuvée Tradition;37;This medium-bodied, silky-textured rosé features modestly confected aromas of bubble gum and cotton candy, which give way on the palate to vinous notes of cherry and wet stone. Aged in wood from Domaine de la Romanée-Conti, this rich wine has sweetness, just enough tannins and wood to give structure, and a deep red cherry fruitiness. Dominated by 80% Merlot, this ripe and firm wine is full of red berry fruits with a solid, dry core that comes from the fruit tannins.
Sierra Madre Vineyard;38;Mossy, dank, forest-floor aromas of juniper, chaparral shrub, pencil lead and spiced porcini mushrooms mix with a cooked rhubarb character on the nose of this wine from single-vineyard specialist Bill Brosseau. The vineyard is in the Santa Maria Valley, and the wine shows that area's crisp acidity, as well as long hangtime orange, Meyer lemon and golden mango fruit flavors. Pink grapefruit, a linear chalky component and the aromas of apricot jam on brie cheese rind show on the nose of this bottling from one of the region's oldest vineyards.
White;39;This Bordeaux blend is partially barrel fermented and aged in one-year-old oak, which explains why this blend of 56% Sémillon and 44% Sauvignon Blanc has both an oakiness and a steeliness over its pear and citrus fruit. There's been a huge jump in production of this wine since the past vintage, which may signal some surge of interest in white Pinot, which has lately become a bit of a trend in Oregon. This stone-soil, cool-climate region of Monterey is the perfect place to grow a German-style Riesling and keep the price down, because costs there aren't as high as in the North and South coasts.
Made With Organic Grapes;40;Fermented entirely in stainless steel without undergoing ML or barrel aging, it delivers everything you love about the variety, inviting one in with melon and minerality, then following through with a surprising creaminess and almost decadent, mousse-like finish. Winemaker Mike Lee continues to prove his prowess with Sauvignon Blanc in this latest vintage of Patianna, Patti Fetzer's line of organically farmed wines from outside of Hopland in Mendocino County. Bonterra sources organically grown grapes from both Mendocino and Lake counties to craft this light, slightly sour white generous in kiwi and a pronounced aroma and taste of honeydew.
Unfiltered;40;Planted originally in 1975 to heritage Wente clone Chardonnay by owner/winemaker Tom Dehlinger, its generosity of fresh apple and pear ride a voluptuous, balanced texture that's wholly satisfying, before meeting deeper hues of spicy, exotic tropical tones on the finish. Moderately intense on the nose with dominating earthy, forest floor notes backed by red plum guts and cherry along with a hint of vanilla ice cream with raspberry sauce swirled in. New winemaking and a sizable replanting effort at the producer's Spring Mountain estate are starting to show dividends in this new release, a full-bodied style true to its heritage.
Soberanes Vineyard;41;The palate is very high-toned and pithy with flavors of pear skin, Key lime, chive, sea salt and a touch of smoke, leaving the mouth with quite a sizzle on the finish. Stark minerality, from hot gravel to chipped slate, meets with garrigue elements of lavender and thyme on the nose of this strong bottling that gains a savory quality thanks to roasted-pork aromas. The firm structure implies that this wine will improve with time, but it's already deliciously savory with lots of thyme, anise, menthol, charred beef and pepper throughout the purple fruit flavors.
La Encantada Vineyard;41;Rick Longoria is all about restraint in his winemaking, and that shows on the shy aromas of this bottling that allow hints of black plum, wildfire, roasted meat and light rosemary to emerge. All of those elements are interwoven on the sip, where a core of fruit punch is laced by bay leaf, kalamata olive, bergamot and Christmas spice that persist deep into the finish. If you love fruit, you'll savor the endless flavors of raspberries, cherries and persimmons that are brightened with a squeeze of zesty, lime-like acidity and enriched with the smoky creaminess of oak.
Selección;41;Dense, roasted, earthy aromas of lightly stewed berry fruits and leather set up a deep, oaky palate with baked, loamy dark-fruit flavors that finish smooth, mellow and rich in feel. Powerful and oaky on the palate, with a creamy vanilla flavor, this brings on the blackberry, mocha, cocoa and toast as it works its way to a clean, long finish. This is Alamos's top Malbec, and it is fat and savory on the nose, with rubber, leather, asphalt and cured-meat aromas in addition to showing jammy fruit scents.
Shea Vineyard;42;The entire 2008 lineup from Panther Creek shows consistent flavors that deftly mix tart but ripe berry fruit with layers of dusty spice, hints of barnyard and lightly grainy tannins. The characteristic blackberry fruit shines through, but winemaker Adam Campbell has wrapped it in the sort of elegant, lightly herbal, spicy flavors that define the Elk Cove style. The fruit is set against clean acids and supple tannins, and flavors remain full and focused with details of baking spices all through the long finish.
Proprietary;42;A powerful waft of red fruit and tannin combine for an agreeable wine that'll do well across palates, appealing to those who like some weight and body to their wine and to others who like a wine priced under $30. A blend of Cabernet Sauvignon (55%), Merlot (36%) and Petit Verdot from the Seven Hills and Loess vineyards, aromas of dried high-toned herb, cocoa and barrel spice intermingle on a wine that has yet to fully reveal its charms. Co-fermented Syrah, Petite Sirah and Zinfandel from the Mounts Vineyard in Dry Creek Valley were all picked the same day for this blend that's tight, sinewy and smoky in sanguine notes of baked plum, cranberry and baked bread.
Garys' Vineyard;44;The nose on this bottling from the iconic vineyard co-owned by the Pisoni and Franscioni families is quite sultry, with lots of violet and purple-flower aromas as well as mulberry, black raspberry, forest floor and grilled meat. Deep, rich aromas of baked plum, rhubarb pie, star anise, red cinnamon, forest floor and gingerbread show on this nose of this wine from a vineyard planted by the two Garys, Pisoni and Franscioni. While this wine is enormously tannic and dry, it shows a complex range of blackberry and stone fruit, tobacco, currant, charred meat bone, black pepper and mineral flavors, with the oak influence evident but subtle.
Special Reserve;44;Plum clafouti and a marriage of cherry and clove provide a foundation above which lies a spicy mix of dried herb and cedar in this integrated, softly approachable wine of medium-build and length. Tangy and showing some good aging, this is a ripe wine that has a bite of spirit and acidity making it dry, with touches of the old wood used in the aging. Smooth, medium-bodied layers of pomegranate, red currant and a refreshing sense of citrus make for a light, food friendly companion, especially with the wine's satisfying bite of acidity and lengthy finish.
Estate Vineyards;45;Tremendously pretty with honeysuckle and apricot highlights and memorable texture as well as a bright, crisp finish, this Chardonnay makes for a very good food wine, its cool-climate grapes grown organically along the banks of the Russian River. Blended with 12% Sauvignon Blanc and coming from a mixture of Les Collines, Goff and Seven Hills vineyards, this wine brings aromas of lees and fig that are followed by lightly creamy well-balanced fruit flavors. From a grape that's rarely planted in the Central Coast, this bottling shows loads of earthy aromas, from wet soil to crushed gravel, as well as tight blackberry, dried dill and white pepper notes.
Paragon Vineyard;46;Very pithy aromas of grapefruit, squeezed lemon, crisp Asian pear and a touch of chalk show on the nose of this bottling, another strong argument about how well this variety can do in cool coastal California. There's no oak on this delightfully dry wine, although you'd never know it from the rich streak of vanilla and smoky butter that accompanies the orange, apricot, lime and honey flavors. Baking soda, ripe citrus pith, lime blossoms and a soft petrol touch show on the nose of this wine from a vineyard to watch in southern San Luis Obispo County.
Blanc de Noirs;46;Made entirely from Pinot Noir grapes, this méthode Champenoise sparkler is golden peach in color with attractive aromas and flavors of orange blossom, hazelnut, orange peel and a slight sense of garden herbs. A touch sweet, yet full and not at all cloying on the palate, this tangy middleweight from this well-known Napa marque finishes evenly with licorice, tart fruit and a slight candied note. This Blanc de Noirs—91% Pinot Noir with small amounts of Chardonnay and Pinot Meunier—opens with a tad ripe, with a light and airy mousse and a predominance of strawberry flavor.
Rosé Brut;47;Following the elegant Deutz tradition, this wine has a character that is light as a feather, but still anchored into vivid red fruits and tight acidity, leavened by a softness. An all-Italian blend of Garganega, Pinot Bianco, Chardonnay and Nerello Mascalese, this bright rosé sparkler is easy-going and clean, with pretty citrus and almond notes on the close. The dominance of the two Pinot grapes gives it a slight texture and tannic edge although this is smoothed out by the soft finish from the relatively high dosage.
Boushey Vineyard;47;Coming from one of the state's premier Syrah vineyards, this wine shows a downright mesmerizing sense of purity with its aromas of purple fruit, herb, fresh flower, earth and iron. But the complexity and depth of Boushey fruit is there, and the wine takes you on a ride through a mélange of intriguing herb, fruit, cured meat and barrel flavors. A blend of three new Syrah clones that were fermented separately, then blended into a satisfying, though still young and somewhat jagged wine that will benefit from more bottle age.
Bussia;49;Here's an expression of Nebbiolo from the celebrated Bussia cru that opens with juicy fruit tones of cherry and blackberry backed by charred notes of campfire, cured beef, cigar box, leather and crushed granite. This vintage of Prunotto's celebrated Bussia cru is also on the mature side (but not as much as the hotter 2005 vintage) and offers ripe aromas of blackberry preserves and strawberry. The tightly wound palate is still rather closed and on the lean side in terms of fruit richness, but slowly reveals sour cherry, licorice and a note of ground pepper.
Bacigalupi Vineyard;50;From the historic vineyard site planted to old Wente, this wine offers a silky-smooth character on the palate, which is generous in its aromatics of apple blossom and peach, with just the right sizzle of tangy lemon-driven acidity. From the historic family-owned vineyard down a ways on Westside Road, this Bacigalupi wine is richer and more layered than some of the producer's other vineyard-designates, providing a meatier, more tropical edge of fleshy butter and nuttiness. Piquant in allspice, this soft, single-vineyard designate from a property known for Pinot Noir conveys a sense of elegance and subdued tannins, offering plum and red cherry atop shy waves of cedar and sage.
Premium;52;It has flavors of pink grapefruit, almond paste, toast, vanilla and lemon curd and a slightly savory undercurrent on the palate that surges forward with notes of thyme and oregano on the finish. This powerful blend of Petite Sirah, Petit Verdot, Syrah, Cabernet Sauvignon and Cabernet Franc is smoky with oak and thickly concentrated on the palate, with sweet blueberry fruit and dark chocolate flavors. In the mouth, this is lively and medium bodied, while nice acidity allows it to roll over the palate while showing earthy flavors of black fruits and rubber.
Colheita;53;Aged in barrels in the cool cellars in Azeitão, this wine combines great freshness with spice, toast and acidity that come together in a sweet, honeyed aftertaste. Using the four main grapes of the Dão region—Touriga Nacional, Tinta Roriz, Alfrocheiro and Jaen—this is an impressive wine, with solid tannins and a crushed-stone texture. Because of its relative youth (for a wood-aged Colheita), this is almost a Late Bottled style, with ruby color and a fruity, red berry character.
Gap's Crown Vineyard;54;Tightly coiled in fruit and oak, this is a young yet vibrantly lush, plush and juicy wine.It's ready to expand on the palate as it opens to reveal exotic baking spice, textured velvety softness and swathes of black cherry and pomegranate. Smooth and juicy in red fruit with an edge of more savory cranberry, this wine from a great vineyard source rises to its occasion and to its site, offering high acidity, medium weight and a lingering, nearly spicy finish. The second vintage by this producer from this highly regarded vineyard, this wine shows how racy the site can be, cooled from Petaluma Gap winds and fog and yet also robustly capable of ripe, rich red fruit.
Sangiacomo Vineyard;54;Made from two vineyards in the cool Carneros district of Sonoma, it's ripe in pineapple and green apple flavors enhanced with the toast of oak, the creaminess of lees and the buttery softness of malolactic fermentation. Tastes riper and oakier than in previous vintages, giving it a somewhat flamboyant personality, but lovers of this California style will be impressed by the pineapple custard, butterscotch, crème brûlée and smoky oak flavors. The producer's original source of Chardonnay, Sangiacomo grapes have figured into this wine since 1987, this vintage of which is astounding in tropical, fleshy layers of elegance, flecks of freshly cut pear providing further succulence.
Ciel du Cheval Vineyard;55;"A blend of Cabernet Franc (35%) and Cabernet Sauvignon (18%) with the rest equal parts Merlot and Petit Verdot, this wine offers brooding notes of herbs, black currant, mineral and flowers. The oak (40% new French) is dialed back, allowing rich, layered notes of plum, herbs, licorice, toast and coffee to rise with a firm scaffolding of slightly dry tannins supporting them. In 2008, Januik made a single-vineyard Syrah from Lewis Vineyard fruit; now the winery has sourced fruit from Ciel du Cheval Vineyard, one of the superstar spots on Red Mountain."
Cannubi;56;On the palate it proved to be soft and chunky, with most of the flavors at the front, and although the flavors were not as intense in the mid palate, they did return and the wine ended with a pleasant medium finish. One of the best expressions from the classic Cannubi vineyard area, this fragrant red is all about finesse, opening with enticing scents of perfumed berry, iris, rose, chopped herb, baking spice and new leather. The tight, compacted palate isn't extremely expressive but eventually reveals suggestions of raw cherry, grilled sage, clove and a hint of orange peel alongside drying tannins that leave a firm finish.
Proprietor's Reserve;57;Supple and inviting, this mellow take on Cabernet Franc has soft cherry-pie flavors, a dash of pepper, and a smooth, chocolaty finish, with a pleasant, toasty, caramel aftertaste. The palate as well is rich with red fruit, dark brambly notes and soft supple tannins, but the tomato leaf flavors that linger throughout are a distraction. But it is clean and vibrant in acidity, with rich pineapple jam and green apple flavors, and the underlying tang of minerals helps to ground it.
Stagecoach Vineyard;58;This Rhône-inspired red from a great site takes a lovely, light-hearted approach to the variety, capturing its ability to conjure black olive tapenade and savory, leathery texture while keeping the ripeness of the fruit more elusive. Made from this Bordeaux blending variety seldom seen bottled on its own, the grapes were grown in the Stagecoach Vineyard, high up on Atlas Peak, increasingly a source of some of Napa's greatest red wines. Still tightly wound, it shows complexity and plenty of natural structure, begging for more time in the bottle to allow for the gunpowder, smoky oak and dark, lush black fruit to marry further.
Dutton Ranch;59;"This is a robustly reduced, tightly wound and still quite youthful wine, showing both the vintage and the appellation in warmer years, with an intensity of black tea, tar and black cherry. Lengthy and complex, it draws much of the fruit from Dutton's Mill Station Vineyard in Green Valley, an appellation that can deliver lots of spice and minerality; both are on display here. Dark gold in color and intensely cradled in oak, this wine maintains a balance of complex, well-defined flavors of honey and apple, with lurking minerality that keeps it fresh and lively."
Durell Vineyard;60;It also has enough firm tannin and acidity to keep the structure lively and the finish fresh, so it's a lot of fun to drink and can take on all kinds of rich proteins at dinner. From a tremendous site sourced by the producer for multiple vintages, this wine shows a charismatic match of winemaker and grapes, beginning with a lean, bright entry that's smooth and rounded on the palate. From a newer planting of the Durell Vineyard called the Ranch House Block, this Pinot is rocking in deep, delicious baked strawberry and raspberry fruit, fruity, lush and spicy yet balanced and tempting.
Rosella's Vineyard;61;Software developer-turned-vintner Mike Officer comes south from his Sonoma base to Monterey make this lavish Syrah that shows layers of blueberry, blackberry and black cassis as well as potpourri and ganache elements. With its eruption of berry, cherry, milk chocolate and anise spice flavors and dramatic tannic structure, it's not particularly subtle, but will excite fans of extracted Santa Lucia Highlands Pinot Noirs. Reviewed at slightly more than two years of age, it tastes of fresh young primary fruits, such as cherries, raspberries, blackberries and cola, and the sweet, smoky oak stands out apart.
Trocken;65;A good value in dry Riesling, this bottling features potent petrol, truffled honey and pineapple notes on the nose, while on the palate it's medium bodied, turning crisp and lean on the finish. While bright cherry and berry aromatics take a bit of aeration and coaxing to flourish, this four-square wine calibrates juicy primary red fruit with cool touches of menthol and cranberry acidity. Slight hint of sulfur at first, but it blows off and the nose opens to reveal a rich medley of ripe orchard fruit tinged with dried tarragon and savory spice.
Vintner's Reserve;65;It's dry, tannic and full-bodied, just what you want in a steak-friendly wine, and the amazing flavors range from blackberry and cherry jam through cassis and plums to toast, smoked meat, vanilla, black pepper and dark chocolate. KJ's Mendocino County Zin has both red and black berry fruit flavor and the spiciness one expects from dry-farmed Mendocino County vineyards, though the tannins stick around a bit longer than one might like. Made in a family winery based in San Francisco that sources fruit mainly from Lodi, this Sauvignon Blanc is rich with fig and Nilla Wafer notes, with a pretty, floral nose.
Roble;65;"This label has turned a corner from its early days; the 2005 is a very nice wine with smooth, ripe berry aromas backed by black cherry, smoked meat, coffee and other savory, dark flavors. Dense in color, with big, oaky aromas of clove, wood grain and vanilla on top of berry-fruit scents, this resiny, rugged RDD tastes of minty, dark oak along with blackberry and plum flavors. Flavors of roasted blackberry are rubbery and come with oaky vanilla, while this feels good on the finish with an overriding oak character in the driver's seat."
Limited Release;67;Young and still intensely oaked, this wine holds undeniable promise in its fleshy, viscous and smooth layers of stone fruit and guava—an untrammeled expression of the Napa Valley's ability for generosity and structure. Sanguine in cranberry, red plum and dark cherry, this wine offers sizable tannin and oak around more savory elements of tobacco and black tea, an introduction of soy on the full-bodied finish. A partnership between the Delicato Family and country musician Zac Brown, this well-made wine shows a wealth of flavor and complexity, from dusty saddle and earth to black cherry and berry.
Prestige;68;As pale in color as is possible for a rosé, this is bright, crisp and fruity.It has delicious acidity and red apple and citrus flavors, with a burst of red currant on the finish. Spanish broom, white flower and mature white stone fruit notes commingle on the nose The round, ripe palate offers white peach, juicy pear and candied nectarine flavors, with a bitter almond-inflected finish. Starts off with melon and a touch of almond character, then adds brighter pineapple notes that turn tart and metallic on the finish, a poignant counter to the wine's breadth on the palate.
Semi-Dry;73;Gorgeous on the nose with aromas of honeyed apples and dried figs, this off-dry Riesling is surprising light on its feet with a dainty palate of sweet pea blossoms and white peach nectar. A sinewy wine that begins with ginger, lemon curd and white peach that give way to a slightly watery palate with a silky texture and good acidity to balance the substantial residual sugar. Slightly floral on the nose, with some pear and nectarine as well, this light-bodied wine blends sweet stone-fruit flavors with tart green apples on the palate, giving it a degree of balance.
Tinto;73;"A mix of grapes from southern Portugal and the north along with a hint of Syrah, this is a stylish wine, feeling fresher and lighter than its alcohol would suggest. However, the palate on this venerable Ribera wine is a bit jumpy and early on it seems tart and miserly; the upside is that the wine will age for 15 years. A field mix of seven varieties, this is a sanguine, thick and rich wine, softly layered in licorice, fig and cranberry, with a big presence on the palate."
Private Reserve;74;Sausal has some of the oldest vines in Sonoma County, and despite ripe raspberry, blackberry, cola and chocolate flavors, this wine has a taste of the earth that must come from the vine roots reaching deep into the soil. Quite good and rich in jammy berry, cherry, cassis and oak flavors, but there's a certain obvious appeal that lacks complexity, and it's not what you expect from a wine of this reputation and price. Fergie of the Black Eyed Peas produces this label with her father and winemaker Joey Tensley, whose handiwork unleashes aromas of white pepper, black cherry, a cornucopia of dark berries and earthy minerality.
Collection;75;Fresh, clean and easy with ripe aromas of red apple flesh and hard nectarine on the nose and a solid lime-driven citrus core that livens up the palate and the finish. It is round and full in the mouth, with rich flavors of green apple, guava and tropical fruits with a slight hint of toast that carry on through the long-lasting finish. This is one compact package of citrus flavors: the nose is shy but the palate is a slender, taut but expressive parcel of zesty lemon and lime notes.
Signature;77;From the family that has made the variety from a three-acre block on Pritchard Hill since the 1960s, missing a few years to replant, this is such a lovely, well-composed and deliciously enjoyable wine it might induce tears of happiness, that's how good it is. A lively, balanced wine at an accessible price point, Marquee's 2008 Signature Chard boasts aromas of smoke, vanilla and stone fruit and flavors that follow along similar lines, with white peach and pineapple coming to the fore. Sure, it's ripe and sexy with a lot of sweet oak characteristics like cocoa powder and smoky wood, but it's got the ripe fruit core of black plum and dark forest berries to back it up.
Blanc de Blancs;79;It's also a tad sweet on the palate, especially for today's sparkling standards, but will surely attract a wide fan base thanks to apple custard, cotton candy and plumeria-like flavors, all dissected by racy bubbles and acidity. Made from 90% Chardonnay and 10% Pinot Gris, this lovely Blanc de Blancs brims with vanilla cream, lime and pear aromas and flavors, with the yeasty, baked bread dough toastiness that mark the best sparkling wines. The best of a strong series of sparklers from this winery and vineyard on the western edge of the appellation, this Chardonnay-based bubbly shows light toast, chalk and lemon mousse on the pure and appealing nose.
Grand Reserve;80;Olive, blackberry and toasty oak all give hope, but when this wine crosses the palate the acidity is so intense that it causes you to take count of your cheeks, tongue and teeth. Good winemaking lies at the heart of this wine, which also blends in smidgens of Cab Franc, Petit Verdot, Merlot and Malbec, the grapes from a range of estate-grown sites. Fairly hard and tannic on the palate, this shows herbal plum flavors in front of a bold finish with dry tannins and a hint of wood spice.
Stillwater Creek Vineyard;81;Everything is tied together in a neat and tidy bundle, with sweet blackberry fruit surrounded by leaf and earth, leading into ripe but stiff tannins and just the right elements of mocha toast. Barrel-fermented and aged sur lie for 10 months, this elegant Chardonnay offers immaculate scents and flavors of lemon rind and pith, a dusting of spice, and a generous slice of ripe apple. The oak—a mixture of new and used French and American—takes the lead on this wine, with aromas and flavors of vanilla, cocoa and coffee out in front of plum and dark fruit.
Barrel Fermented;83;A tasty tang of toasted oak adds a great top note to this full-flavored and full-bodied wine, so that it seems to build complexity from the bass notes of ripe pear, to the butter and cinnamon in the middle and up to the wrapping of spicy, smoky oak. Despite being barrel fermented, this attractive white manages to maintain a vivid vibrancy and freshness, with notes of fresh red apple, firm peach, pineapple core, green mango and clementine that are all infused with delicate hints of toasted oak and baking spice. This is barrel-fermented Viura (with 10% Malvasia), but there's nothing woody or overtly barrel-dominated about the wine, which is tight and citric on the tongue, with tangerine, green apple and nectarine flavors that finish racy and tart.
Cuvée Prestige;84;On the toasty, oaky side, but with just enough citrus and melon fruit to support it, this is a creamy, lush rendition of Saint-Péray that does a nice job integrating the oak into the body of the wine. A rich and rounded wine from a top Beaujolais vintage, this is ripe and full, packed with black cherry flavor and tannins that have now fully integrated into this warm wine. This golden-hued sparkler opens with aromas of yellow orchard fruit, citrus and a whiff of bread crust that carry over to the crisp palate along with a nutty note.
Old Vines;86;Made by Paso Robles-based Ranchero from old vine Carignan grown in Mendocino's Redwood Valley, this still-young rendition of this rough and tumble Old World grape is densely rich and textured with aromas of blackberry and blueberry, clove and tobacco, with a nice kick on the finish. A blend of Champoux (62%), Sagemoor (26%) and Woodward Canyon (12%) estate vineyards, this wine is aromatically brooding at present, with notes of coffee, toffee and vanilla bean alongside high-toned cherries, dried herbs and flowers. Scents of underripe tropical fruit, green plum, apple and lime peel are kissed with hints of rose petal, ginger and honeysuckle, while the medium-weight palate boasts ripe flavors of green melon and fleshy pear.
Estate Vineyard;86;Made from head-trained vines planted where California winemaking pioneer Agoston Haraszthy first grew the variety 150 years ago, this lush wine offers intense aromatics of tar, brick and smoke, with briary blackberry secondary on the nose. It saw 10% stem inclusion during fermentation and was aged in 20% new oak for just over a year, a recipe that works to buoy the wine and give it plenty of complexity. While the winery's regular 2010 Diamond Mountain Cab is a barrel selection, this Estate Vineyard selection consists of only the darkest, most extracted lots, from the winery's various vineyards, according to the winemaker.
Blanc de Blancs Brut;88;Produced from Chardonnay grown on the Montagne de Reims and in the Sézanne region further south, this is a fresh wine, more fruity than mineral although with a definite tilt towards citrus acidity and perfumed acidity. The palate confirms this near weightless lightness and underlines it with fine tiny bubbles that fizz away creamily, providing a counterpoint and resulting in a wine that is both exquisitely light, dry, creamy and elegant. This is one of five Champagnes by entrepreneur and rapper Jay Z under the Armand de Brignac Empire brand that is produced by the Cattier family, in Champagne since 1763.
Late Bottled Vintage;92;It has much of the same intense fruit as the vintage wines but with the advantage of longer aging in barrel to allow the rich dark plum and spice to be more ready to drink. Bottled in 2015, this ripe LBV from the great 2011 vintage achieves a fine balance between firm, dry tannins that promise some aging and sweet black-cherry fruits that are attractive now. From one of the great names of Port, this LBV is a richly sweet wine, full of dried fruits, balanced acidity and a soft, smooth texture.
Classic;97;Slight notes of grass and stone fruit on the nose become more pronounced on the light but intensely flavored palate which bursts with zesty freshness and leaves the mouth bathed in green, leafy aromas forever. Cherries galore on this easy, pretty red: the palate adds appetizing sprays of white pepper to the crunchy, moreish fruit, leaving you with a just about medium-bodied red of immense bounce and freshness. The subtle palate has the softest tannic grip, as if made of translucent red gauze, and majors on earthiness rather than fruit, as so many food friendly, traditional Austrian Pinot Noirs do.
Barrel Select;98;Coming from a vineyard west of Paso Robles that peeks at the ocean surrounding Morro Rock, this is a dense expression of the grape, with dried strawberries, blackberries, smoked pork butt, star anise and lots of smoke on the nose. This wine has the kind of beefy, muscular character that one expects in a Cab, with its earthy berry and leathery spice nose, and a layering of tobacco smoke, black pepper and rich berry on the palate. From this Temecula producer, a barrel selection of plum and black cherry Zinfandel with good depth and structure that's still got some tannins to work out but is ready to drink now.
Unoaked;101;Unabashedly tropical on the nose and palate with gobs of ripe mango, guava and peach, this cheerful Chardonnay is fresh and juicy, with lemon-lime acidity and a surprisingly-elegant minerality on the finish. From an estate property with only two acres planted to the variety, the rest to Pinot Noir, it exudes its Middle Reach roots, ripe and fresh, and entirely aged in stainless steel. This elegant wine, one of very few brands from Humboldt County, strikes a good balance between a ripe, delicious fruit character and moderately spicy, buttery themes, without the influence of oak.
Late Harvest;103;Surprisingly lean and light bodied, this doesn't show typical characteristics of a late harvest wine, but its a clean, refreshing dessert wine evocative of dewy, fresh wildflowers, melon and lemons with just a hint of petrol. Cold-fermented in stainless steel after being harvested at 31.4 degrees Brix, this Late-Harvest Riesling is ripe in apple and honey, with a sustained level of rich earth notes from the 134 g/L residual sugar. Impressive and elegant, with flowers and zippy citrus, pineapple and melon on the nose and refreshing waves of lemon, lime and a touch of tropical fruit to round it out on the palate.
Bien Nacido Vineyard;115;This Bill Price and Gavin Chanin partnership project from the renowned vineyard is fairly light and bright, with aromas of cherry blossom, raspberry juice and gravel, showing some bitter and sour elements on the nose as well. Clean and crisp aromas of Gravenstein apples, Bartlett pear and key lime pith meet with a slight hint of smoke wafting in the background on this bottling by onetime wunderkind Gavin Chanin. This brilliant Chardonnay has the ripe citrus and tropical fruit you want, but is also refined in winemaker technique, particularly a leesy note that marries well with the pineapples in sweet clotted cream.
Estate Reserve;120;From stunningly set vines overlooking the Carmel Valley that in this vintage produced only 1.25 tons an acre (or 1.12 pounds per plant) comes this stellar wine, redolent on the nose with black plum, mulberry, turned earth, wet mud, woody sagebrush, incense and sandalwood. Aromas of red apple, toasted challah, honeycomb and banana cream pie slowly unfold in the bouquet and carry through to the medium-weight palate, where it is balanced by medium acidity and supporting tones of sweet citrus oil and baking spice. From an amazing vineyard set at 1,200 feet with ocean views across the Carmel Valley, this bottling shows soft plum and strawberry fruit along with wild thyme, wet slate, a touch of smoke and purple-flower essence.
